date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rolling_goals,away_rolling_goals,home_rank,away_rank,home_points,away_points,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,target
2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Faro-Loulé,Portugal,True,0.0,0.0,23.0,56.0,1558.45,1405.71,-33.0,39.5,152.74,1,0.0,1
2023-01-09,Oman,Yemen,3.0,2.0,Gulf Cup,Basra,Iraq,True,1.0,0.0,75.0,154.0,1321.24,1023.52,-79.0,114.5,297.72,0,1.0,1
2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Basra,Iraq,False,0.5,2.0,68.0,49.0,1342.39,1438.13,19.0,58.5,-95.74000000000001,0,-1.5,1
2023-01-09,Vietnam,Indonesia,2.0,0.0,AFF Championship,Hanoi,Vietnam,False,2.4,2.4,96.0,151.0,1228.63,1033.9,-55.0,123.5,194.73000000000002,0,0.0,1
2023-01-10,United Arab Emirates,Kuwait,0.0,1.0,Gulf Cup,Basra,Iraq,True,1.0,0.0,70.0,148.0,1338.48,1056.64,-78.0,109.0,281.8399999999999,0,1.0,0
2023-01-10,Qatar,Bahrain,1.0,2.0,Gulf Cup,Basra,Iraq,True,2.0,2.0,60.0,85.0,1393.56,1280.27,-25.0,72.5,113.28999999999996,0,0.0,0
2023-01-10,Thailand,Malaysia,3.0,0.0,AFF Championship,Pathum Thani,Thailand,False,2.6,2.2,111.0,145.0,1173.4,1066.6,-34.0,128.0,106.80000000000018,0,0.3999999999999999,1
2023-01-12,Finland,Estonia,0.0,1.0,Friendly,Albufeira,Portugal,True,0.0,1.0,56.0,109.0,1405.71,1186.27,-53.0,82.5,219.44000000000005,1,-1.0,0
2023-01-12,Sweden,Iceland,2.0,1.0,Friendly,Faro-Loulé,Portugal,True,2.0,1.0,23.0,63.0,1558.45,1380.35,-40.0,43.0,178.10000000000014,1,1.0,1
2023-01-12,Iraq,Yemen,5.0,0.0,Gulf Cup,Basra,Iraq,False,1.0,1.0,68.0,154.0,1342.39,1023.52,-86.0,111.0,318.8700000000001,0,0.0,1
2023-01-12,Saudi Arabia,Oman,1.0,2.0,Gulf Cup,Basra,Iraq,True,1.0,1.5,49.0,75.0,1438.13,1321.24,-26.0,62.0,116.8900000000001,0,-0.5,0
2023-01-13,Vietnam,Thailand,2.0,2.0,AFF Championship,Hanoi,Vietnam,False,1.6,2.2,96.0,111.0,1228.63,1173.4,-15.0,103.5,55.23000000000002,0,-0.6000000000000001,0
2023-01-13,Bahrain,Kuwait,1.0,1.0,Gulf Cup,Basra,Iraq,True,2.0,0.3333333333333333,85.0,148.0,1280.27,1056.64,-63.0,116.5,223.62999999999988,0,1.6666666666666667,0
2023-01-13,Qatar,United Arab Emirates,1.0,1.0,Gulf Cup,Basra,Iraq,True,1.5,0.6666666666666666,60.0,70.0,1393.56,1338.48,-10.0,65.0,55.07999999999993,0,0.8333333333333334,0
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,Basra,Iraq,False,2.0,1.3333333333333333,68.0,60.0,1342.39,1393.56,8.0,64.0,-51.169999999999845,0,0.6666666666666667,1
2023-01-16,Bahrain,Oman,0.0,1.0,Gulf Cup,Basra,Iraq,True,1.6666666666666667,1.6,85.0,75.0,1280.27,1321.24,10.0,80.0,-40.97000000000003,0,0.06666666666666665,0
2023-01-16,Thailand,Vietnam,1.0,0.0,AFF Championship,Pathum Thani,Thailand,False,1.8,1.4,111.0,96.0,1173.4,1228.63,15.0,103.5,-55.23000000000002,0,0.40000000000000013,1
2023-01-19,Iraq,Oman,3.0,2.0,Gulf Cup,Basra,Iraq,False,2.0,1.4,68.0,75.0,1342.39,1321.24,-7.0,71.5,21.15000000000009,0,0.6000000000000001,1
2023-01-25,United States,Serbia,1.0,2.0,Friendly,Los Angeles,United States,False,0.0,0.0,100.0,29.0,0.0,1526.46,71.0,64.5,-1526.46,1,0.0,0
2023-01-28,United States,Colombia,0.0,0.0,Friendly,Carson,United States,False,1.0,0.0,100.0,17.0,0.0,1612.78,83.0,58.5,-1612.78,1,1.0,0
2023-02-22,Grenada,Barbados,1.0,1.0,Friendly,Sauteurs,Grenada,False,0.0,0.0,173.0,166.0,963.72,982.27,7.0,169.5,-18.549999999999955,1,0.0,0
2023-02-26,Grenada,Barbados,2.0,2.0,Friendly,St. George's,Grenada,False,1.0,1.0,173.0,166.0,963.72,982.27,7.0,169.5,-18.549999999999955,1,0.0,0
2023-03-03,Grenada,St Lucia,1.0,2.0,Friendly,St. George's,Grenada,False,1.5,0.0,173.0,172.0,963.72,964.73,1.0,172.5,-1.009999999999991,1,1.5,0
2023-03-04,Saint Barthélemy,Sint Maarten,5.0,1.0,Friendly,Saint-Jean,Saint Barthélemy,False,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1,0.0,1
2023-03-05,Grenada,St Lucia,2.0,0.0,Friendly,Gouyave,Grenada,False,1.3333333333333333,2.0,173.0,172.0,963.72,964.73,1.0,172.5,-1.009999999999991,1,-0.6666666666666667,1
2023-03-10,Saint Martin,Saint Barthélemy,3.0,2.0,Friendly,Quartier-d'Orleans,Saint Martin,False,0.0,5.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,1,-5.0,1
2023-03-11,Jamaica,Trinidad and Tobago,0.0,1.0,Friendly,Montego Bay,Jamaica,False,0.0,0.0,64.0,104.0,1379.29,1195.29,-40.0,84.0,184.0,1,0.0,0
2023-03-12,Guatemala,Panama,1.0,1.0,Friendly,San Jose,United States,True,0.0,0.0,119.0,61.0,1157.56,1391.7,58.0,90.0,-234.1400000000001,1,0.0,0
2023-03-14,Jamaica,Trinidad and Tobago,0.0,0.0,Friendly,Kingston,Jamaica,False,0.0,1.0,64.0,104.0,1379.29,1195.29,-40.0,84.0,184.0,1,-1.0,0
2023-03-15,Bangladesh,Malawi,1.0,1.0,Friendly,Medina,Saudi Arabia,True,0.0,0.0,192.0,124.0,884.45,1144.97,68.0,158.0,-260.52,1,0.0,0
2023-03-19,Ethiopia,Rwanda,1.0,0.0,Friendly,Adama,Ethiopia,False,0.0,0.0,138.0,137.0,1091.19,1093.66,1.0,137.5,-2.4700000000000273,1,0.0,1
2023-03-20,Fiji,Vanuatu,1.0,2.0,Friendly,Lautoka,Fiji,False,0.0,0.0,163.0,164.0,989.43,985.62,-1.0,163.5,3.8099999999999454,1,0.0,0
2023-03-21,Maldives,Pakistan,1.0,0.0,Friendly,Laamu,Maldives,False,0.0,0.0,156.0,195.0,1021.18,864.72,-39.0,175.5,156.45999999999992,1,0.0,1
2023-03-21,Tahiti,New Caledonia,0.0,2.0,Friendly,Pirae,Tahiti,False,0.0,0.0,162.0,161.0,995.11,995.58,1.0,161.5,-0.4700000000000273,1,0.0,0
2023-03-22,Sierra Leone,São Tomé and Príncipe,2.0,2.0,African Cup of Nations qualification,Agadir,Morocco,True,0.0,0.0,116.0,186.0,1160.31,908.18,-70.0,151.0,252.13,0,0.0,0
2023-03-22,Republic of Ireland,Latvia,3.0,2.0,Friendly,Dublin,Republic of Ireland,False,0.0,0.0,48.0,133.0,1438.59,1116.96,-85.0,90.5,321.6299999999999,1,0.0,1
2023-03-22,Benin,Rwanda,1.0,1.0,African Cup of Nations qualification,Cotonou,Benin,False,0.0,0.0,91.0,137.0,1247.47,1093.66,-46.0,114.0,153.80999999999995,0,0.0,0
2023-03-22,India,Myanmar,1.0,0.0,Tri Nation Tournament,Imphal,India,False,0.0,1.0,106.0,159.0,1192.09,1006.16,-53.0,132.5,185.92999999999995,0,-1.0,1
2023-03-22,Honduras,El Salvador,1.0,0.0,Friendly,Los Angeles,United States,True,0.0,0.0,81.0,74.0,1300.78,1326.86,7.0,77.5,-26.079999999999927,1,0.0,1
2023-03-22,Nepal,Laos,2.0,0.0,Tri Nation Tournament,Kathmandu,Nepal,False,0.0,0.5,175.0,187.0,956.94,905.51,-12.0,181.0,51.430000000000064,0,-0.5,1
2023-03-23,North Macedonia,Malta,2.0,1.0,UEFA Euro qualification,Skopje,North Macedonia,False,0.0,0.0,65.0,167.0,1355.28,978.95,-102.0,116.0,376.3299999999999,0,0.0,1
2023-03-23,British Virgin Islands,Puerto Rico,1.0,3.0,CONCACAF Nations League,Road Town,British Virgin Islands,False,0.0,0.0,209.0,170.0,809.32,974.32,39.0,189.5,-165.0,0,0.0,0
2023-03-23,Saint Martin,St Kitts and Nevis,1.0,3.0,CONCACAF Nations League,The Valley,Anguilla,True,3.0,0.0,100.0,140.0,0.0,1076.91,-40.0,120.0,-1076.91,0,3.0,0
