date,home_team,away_team,home_score,away_score,tournament,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,streak_diff,opp_rank_diff,target
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,8.0,64.0,-51.169999999999845,0,0.6666666666666667,1.1666666666666667,5.5,1
2023-01-16,Bahrain,Oman,0.0,1.0,Gulf Cup,10.0,80.0,-40.97000000000003,0,0.06666666666666665,-0.2666666666666666,2.4666666666666686,0
2023-01-16,Thailand,Vietnam,1.0,0.0,AFF Championship,15.0,103.5,-55.23000000000002,0,0.40000000000000013,-0.19999999999999996,-3.5999999999999943,1
2023-01-19,Iraq,Oman,3.0,2.0,Gulf Cup,-7.0,71.5,21.15000000000009,0,0.6000000000000001,0.0,8.0,1
2023-01-25,United States,Serbia,1.0,2.0,Friendly,71.0,64.5,-1526.46,1,0.0,0.0,0.0,0
2023-01-28,United States,Colombia,0.0,0.0,Friendly,83.0,58.5,-1612.78,1,1.0,0.0,29.0,0
2023-02-22,Grenada,Barbados,1.0,1.0,Friendly,7.0,169.5,-18.549999999999955,1,0.0,0.0,0.0,0
2023-02-26,Grenada,Barbados,2.0,2.0,Friendly,7.0,169.5,-18.549999999999955,1,0.0,0.0,-7.0,0
2023-03-03,Grenada,St Lucia,1.0,2.0,Friendly,1.0,172.5,-1.009999999999991,1,1.5,1.0,166.0,0
2023-03-04,Saint Barthélemy,Sint Maarten,5.0,1.0,Friendly,0.0,100.0,0.0,1,0.0,0.0,0.0,1
2023-03-05,Grenada,St Lucia,2.0,0.0,Friendly,1.0,172.5,-1.009999999999991,1,-0.6666666666666667,-2.3333333333333335,-5.0,1
2023-03-10,Saint Martin,Saint Barthélemy,3.0,2.0,Friendly,0.0,100.0,0.0,1,-5.0,-3.0,-100.0,1
2023-03-11,Jamaica,Trinidad and Tobago,0.0,1.0,Friendly,-40.0,84.0,184.0,1,0.0,0.0,0.0,0
2023-03-12,Guatemala,Panama,1.0,1.0,Friendly,58.0,90.0,-234.1400000000001,1,0.0,0.0,0.0,0
2023-03-14,Jamaica,Trinidad and Tobago,0.0,0.0,Friendly,-40.0,84.0,184.0,1,-1.0,-3.0,40.0,0
2023-03-15,Bangladesh,Malawi,1.0,1.0,Friendly,68.0,158.0,-260.52,1,0.0,0.0,0.0,0
2023-03-19,Ethiopia,Rwanda,1.0,0.0,Friendly,1.0,137.5,-2.4700000000000273,1,0.0,0.0,0.0,1
2023-03-20,Fiji,Vanuatu,1.0,2.0,Friendly,-1.0,163.5,3.8099999999999454,1,0.0,0.0,0.0,0
2023-03-21,Maldives,Pakistan,1.0,0.0,Friendly,-39.0,175.5,156.45999999999992,1,0.0,0.0,0.0,1
2023-03-21,Tahiti,New Caledonia,0.0,2.0,Friendly,1.0,161.5,-0.4700000000000273,1,0.0,0.0,0.0,0
2023-03-22,Sierra Leone,São Tomé and Príncipe,2.0,2.0,African Cup of Nations qualification,-70.0,151.0,252.13,0,0.0,0.0,0.0,0
2023-03-22,Republic of Ireland,Latvia,3.0,2.0,Friendly,-85.0,90.5,321.6299999999999,1,0.0,0.0,0.0,1
2023-03-22,Benin,Rwanda,1.0,1.0,African Cup of Nations qualification,-46.0,114.0,153.80999999999995,0,0.0,0.0,-138.0,0
2023-03-22,India,Myanmar,1.0,0.0,Tri Nation Tournament,-53.0,132.5,185.92999999999995,0,-1.0,-0.25,-147.0,1
2023-03-22,Honduras,El Salvador,1.0,0.0,Friendly,7.0,77.5,-26.079999999999927,1,0.0,0.0,0.0,1
2023-03-22,Nepal,Laos,2.0,0.0,Tri Nation Tournament,-12.0,181.0,51.430000000000064,0,-0.5,-0.25,-140.0,1
2023-03-23,North Macedonia,Malta,2.0,1.0,UEFA Euro qualification,-102.0,116.0,376.3299999999999,0,0.0,0.0,0.0,1
2023-03-23,British Virgin Islands,Puerto Rico,1.0,3.0,CONCACAF Nations League,39.0,189.5,-165.0,0,0.0,0.0,0.0,0
2023-03-23,Saint Martin,St Kitts and Nevis,1.0,3.0,CONCACAF Nations League,-40.0,120.0,-1076.91,0,3.0,3.0,100.0,0
2023-03-23,French Guiana,Dominican Republic,1.0,1.0,CONCACAF Nations League,-52.0,126.0,-1031.86,0,0.0,0.0,0.0,0
2023-03-23,Guadeloupe,Antigua and Barbuda,0.0,1.0,CONCACAF Nations League,-31.0,115.5,-1117.01,0,0.0,0.0,0.0,0
2023-03-23,Barbados,Cuba,0.0,1.0,CONCACAF Nations League,-2.0,167.0,3.6200000000000045,0,1.5,1.0,173.0,0
2023-03-23,Suriname,Mexico,0.0,2.0,CONCACAF Nations League,124.0,77.0,-558.48,0,0.0,0.0,0.0,0
2023-03-23,Slovakia,Luxembourg,0.0,0.0,UEFA Euro qualification,-38.0,73.0,180.23000000000002,0,0.0,0.0,0.0,0
2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,-6.0,60.0,23.160000000000082,0,-1.0,-0.5,-66.0,1
2023-03-23,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,-189.0,103.5,842.6999999999999,0,0.0,0.0,0.0,1
2023-03-23,Kazakhstan,Slovenia,1.0,2.0,UEFA Euro qualification,53.0,88.5,-225.97000000000003,0,0.0,0.0,0.0,0
2023-03-23,San Marino,Northern Ireland,0.0,2.0,UEFA Euro qualification,152.0,135.0,-633.4,0,0.0,0.0,0.0,0
2023-03-23,Italy,England,1.0,2.0,UEFA Euro qualification,3.0,6.5,-50.63000000000011,0,0.0,0.0,0.0,0
2023-03-23,Denmark,Finland,3.0,1.0,UEFA Euro qualification,-38.0,37.0,202.39999999999986,0,0.0,0.0,-66.0,1
2023-03-23,Zambia,Lesotho,3.0,1.0,African Cup of Nations qualification,-59.0,117.5,203.75,0,0.0,0.0,0.0,1
2023-03-23,Gabon,Sudan,1.0,0.0,African Cup of Nations qualification,-49.0,103.5,178.1300000000001,0,0.0,0.0,0.0,1
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,-59.0,31.5,446.68000000000006,1,-1.0,-1.0,-119.0,1
2023-03-23,Hong Kong,Singapore,1.0,1.0,Friendly,-14.0,153.0,56.29000000000008,1,-1.5,-1.75,-146.75,0
2023-03-23,Hungary,Estonia,1.0,0.0,Friendly,-73.0,72.5,307.05999999999995,1,-1.0,-2.0,-59.5,1
2023-03-23,Malaysia,Turkmenistan,1.0,0.0,Friendly,10.0,140.0,-33.87000000000012,1,2.0,1.8,133.0,1
2023-03-23,New Zealand,China PR,0.0,0.0,Friendly,25.0,92.5,-111.07999999999993,1,0.0,0.0,0.0,0
2023-03-23,IR Iran,Russia,1.0,1.0,Friendly,-13.0,30.5,60.47000000000003,1,0.0,0.0,0.0,0
2023-03-23,Madagascar,Central African Republic,0.0,3.0,African Cup of Nations qualification,-30.0,117.0,83.76999999999998,0,0.0,0.0,0.0,0
2023-03-23,Ghana,Angola,1.0,0.0,African Cup of Nations qualification,-59.0,87.5,241.21000000000004,0,0.0,0.0,0.0,1
2023-03-23,Algeria,Niger,2.0,1.0,African Cup of Nations qualification,-82.0,81.0,338.19000000000005,0,0.0,0.0,0.0,1
2023-03-23,Congo,South Sudan,1.0,2.0,African Cup of Nations qualification,-66.0,132.0,224.79999999999995,0,0.0,0.0,0.0,0
2023-03-23,Solomon Islands,Vanuatu,2.0,0.0,Friendly,-28.0,150.0,110.08000000000004,1,-2.0,-3.0,-163.0,1
2023-03-24,Moldova,Faroe Islands,1.0,1.0,UEFA Euro qualification,51.0,148.5,-187.42999999999995,0,0.0,0.0,0.0,0
2023-03-24,Senegal,Mozambique,5.0,1.0,African Cup of Nations qualification,-95.0,66.5,440.4200000000001,0,0.0,0.0,0.0,1
2023-03-24,South Africa,Liberia,2.0,2.0,African Cup of Nations qualification,-83.0,108.5,300.6999999999998,0,0.0,0.0,0.0,0
2023-03-24,Gibraltar,Greece,0.0,3.0,UEFA Euro qualification,149.0,125.5,-575.55,0,0.0,0.0,0.0,0
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,-3.0,4.5,82.47000000000003,0,0.0,0.0,0.0,1
2023-03-24,Czechia,Poland,3.0,1.0,UEFA Euro qualification,16.0,30.0,-69.22000000000003,0,0.0,0.0,0.0,1
2023-03-24,Austria,Azerbaijan,4.0,1.0,UEFA Euro qualification,-87.0,77.5,345.4200000000001,0,0.0,0.0,0.0,1
2023-03-24,Belize,Guatemala,1.0,2.0,CONCACAF Nations League,57.0,147.5,-206.67999999999995,0,-1.0,-1.0,-61.0,0
2023-03-24,Bulgaria,Montenegro,0.0,1.0,UEFA Euro qualification,2.0,70.0,-2.4400000000000546,0,0.0,0.0,0.0,0
2023-03-24,Serbia,Lithuania,2.0,0.0,UEFA Euro qualification,-115.0,86.5,457.34000000000015,0,2.0,3.0,100.0,1
2023-03-24,Grenada,United States,1.0,7.0,CONCACAF Nations League,73.0,136.5,963.72,0,1.0,0.75,146.0,0
2023-03-24,Bahamas,Trinidad and Tobago,0.0,3.0,CONCACAF Nations League,99.0,153.5,-340.49,0,-0.5,-2.0,-64.0,0
2023-03-24,Nicaragua,St Vincent and the Grenadines,4.0,1.0,CONCACAF Nations League,-36.0,160.0,126.49000000000001,0,0.0,0.0,0.0,1
2023-03-24,Anguilla,St Lucia,1.0,2.0,CONCACAF Nations League,38.0,191.0,-173.99,0,-1.0,-1.5,-173.0,0
2023-03-24,Tunisia,Libya,3.0,0.0,African Cup of Nations qualification,-90.0,75.0,369.46000000000004,0,0.0,0.0,0.0,1
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,19.0,13.5,-222.8499999999999,0,2.0,3.0,59.5,0
2023-03-24,Equatorial Guinea,Botswana,2.0,0.0,African Cup of Nations qualification,-51.0,123.5,161.23000000000002,0,0.0,0.0,0.0,1
2023-03-24,Guinea,Ethiopia,2.0,0.0,African Cup of Nations qualification,-55.0,110.5,199.27999999999997,0,-1.0,-3.0,-137.0,1
2023-03-24,Côte d'Ivoire,Comoros,3.0,1.0,African Cup of Nations qualification,-82.0,88.0,318.30999999999995,0,0.0,0.0,0.0,1
2023-03-24,Australia,Ecuador,3.0,1.0,Friendly,-14.0,34.0,56.65000000000009,1,0.0,0.0,0.0,1
2023-03-24,Japan,Uruguay,1.0,1.0,Friendly,4.0,18.0,-34.37000000000012,1,0.0,0.0,0.0,0
2023-03-24,Kuwait,Philippines,2.0,0.0,Friendly,14.0,141.0,-56.50999999999999,1,-1.5,0.25,-86.5,1
2023-03-24,Saudi Arabia,Venezuela,1.0,2.0,Friendly,-6.0,52.0,32.0300000000002,1,1.0,1.0,99.0,0
2023-03-24,Tahiti,New Caledonia,2.0,1.0,Friendly,1.0,161.5,-0.4700000000000273,1,-2.0,-3.0,-1.0,1
2023-03-24,Uzbekistan,Bolivia,1.0,0.0,Friendly,-5.0,79.5,17.680000000000064,1,0.0,0.0,0.0,1
2023-03-24,Nigeria,Guinea-Bissau,0.0,1.0,African Cup of Nations qualification,-83.0,76.5,335.54999999999995,0,0.0,0.0,0.0,0
2023-03-24,Korea Republic,Colombia,2.0,2.0,Friendly,8.0,21.0,-73.28999999999996,1,0.0,-1.0,-100.0,0
2023-03-24,Burkina Faso,Togo,1.0,0.0,African Cup of Nations qualification,-77.0,88.5,305.8899999999999,0,0.0,0.0,0.0,1
2023-03-24,Cameroon,Namibia,1.0,1.0,African Cup of Nations qualification,-80.0,73.0,335.16999999999985,0,0.0,0.0,0.0,0
2023-03-24,Congo DR,Mauritania,3.0,1.0,African Cup of Nations qualification,-30.0,88.0,136.34000000000015,0,0.0,0.0,0.0,1
2023-03-24,Egypt,Malawi,2.0,0.0,African Cup of Nations qualification,-85.0,81.5,345.3699999999999,0,-1.0,-1.0,-192.0,1
2023-03-24,Uganda,Tanzania,0.0,1.0,African Cup of Nations qualification,-41.0,109.5,140.79999999999995,0,0.0,0.0,0.0,0
2023-03-24,Mali,The Gambia,2.0,0.0,African Cup of Nations qualification,-81.0,85.5,311.48,0,0.0,0.0,0.0,1
2023-03-24,Cabo Verde,Eswatini,0.0,0.0,African Cup of Nations qualification,-71.0,107.5,265.15999999999985,0,0.0,0.0,0.0,0
2023-03-25,Belarus,Switzerland,0.0,5.0,UEFA Euro qualification,85.0,54.5,-433.3399999999999,0,0.0,0.0,0.0,0
2023-03-25,Israel,Kosovo,1.0,1.0,UEFA Euro qualification,-31.0,91.5,128.6400000000001,0,0.0,0.0,0.0,0
2023-03-25,Andorra,Romania,0.0,2.0,UEFA Euro qualification,101.0,102.5,-401.51,0,0.0,0.0,0.0,0
2023-03-25,Martinique,Costa Rica,1.0,2.0,CONCACAF Nations League,68.0,66.0,-1500.18,0,0.0,0.0,0.0,0
