date,home_team,away_team,rank_diff_inv,rating_diff,form_diff,h_inv_rank,h_squad_rating,h_recent_form,squad_rank_interaction,rating_delta_form,target
2023-09-08,Singapore,Tajikistan,-48.0,0,0.6,54.0,70,1.2,3780.0,0.0,0
2023-09-08,Burkina Faso,Eswatini,90.0,0,0.7333333333333333,156.0,70,1.3333333333333333,10920.0,0.0,0
2023-09-08,Egypt,Ethiopia,108.0,6,1.6,178.0,76,3.0,13528.0,18.0,1
2023-09-08,Mali,South Sudan,116.0,0,1.25,161.0,70,2.0,11270.0,0.0,1
2023-09-08,Georgia,Spain,-68.0,-14,0.0,134.0,70,1.75,9380.0,-24.5,0
2023-09-08,Cyprus,Scotland,-88.0,-6,-2.75,94.0,70,0.25,6580.0,-1.5,0
2023-09-08,Croatia,Latvia,128.0,12,2.0,206.0,82,2.0,16892.0,24.0,1
2023-09-08,Turkey,Armenia,-10.0,7,0.5,112.0,77,2.25,8624.0,15.75,0
2023-09-08,Bosnia and Herzegovina,Liechtenstein,138.0,4,0.75,150.0,74,0.75,11100.0,3.0,1
2023-09-08,Luxembourg,Iceland,-22.0,0,0.7999999999999999,123.0,70,1.4,8610.0,0.0,1
2023-09-08,Slovakia,Portugal,-38.0,-14,-0.5,165.0,70,2.5,11550.0,-35.0,0
2023-09-09,Antigua and Barbuda,Guyana,36.0,0,0.0,80.0,70,1.0,5600.0,0.0,0
2023-09-09,Bahamas,Puerto Rico,-34.0,0,-1.25,15.0,70,0.5,1050.0,0.0,0
2023-09-09,British Virgin Islands,Turks and Caicos Islands,-4.0,0,-3.0,6.0,70,0.0,420.0,0.0,1
2023-09-09,China PR,Malaysia,56.0,0,-0.8500000000000001,132.0,70,1.75,9240.0,0.0,0
2023-09-09,Germany,Japan,5.0,5,-0.95,197.0,83,0.8,16351.0,4.0,0
2023-09-09,Mexico,Australia,15.0,4,1.4,200.0,78,2.4,15600.0,9.6,0
2023-09-09,South Africa,Namibia,51.0,2,0.6000000000000001,149.0,72,1.6,10728.0,3.2,0
2023-09-09,United States,Uzbekistan,-26.0,7,-0.19999999999999996,112.0,78,1.8,8736.0,12.6,1
2023-09-09,Malawi,Guinea,-42.0,0,0.7000000000000002,89.0,70,2.2,6230.0,0.0,0
2023-09-09,Côte d'Ivoire,Lesotho,99.0,8,0.6000000000000001,160.0,78,2.0,12480.0,16.0,1
2023-09-09,Comoros,Zambia,-46.0,0,-2.0,82.0,70,0.4,5740.0,0.0,0
2023-09-09,Mauritania,Gabon,-16.0,0,0.33333333333333326,111.0,70,1.3333333333333333,7770.0,0.0,1
2023-09-09,Congo DR,Sudan,62.0,3,1.5,143.0,73,2.5,10439.0,7.5,1
2023-09-09,Rwanda,Senegal,-121.0,-9,-2.0,73.0,70,0.5,5110.0,-4.5,0
2023-09-09,Ukraine,England,-20.0,-8,-1.25,188.0,77,1.75,14476.0,-14.0,0
2023-09-09,North Macedonia,Italy,-60.0,-12,0.0,144.0,70,1.5,10080.0,-18.0,0
2023-09-09,Azerbaijan,Belgium,-116.0,-13,-2.1666666666666665,91.0,70,0.3333333333333333,6370.0,-4.333333333333333,0
2023-09-09,Estonia,Sweden,-88.0,-7,-1.0,101.0,70,0.8,7070.0,-5.6000000000000005,0
2023-09-09,Andorra,Belarus,-56.0,0,-0.5,58.0,70,0.25,4060.0,0.0,0
